借款人编号,借款人名称,行业归属,信贷客户号,评级
6109020015,无锡德乾能源设备有限公司,C31400:钢压延加工,CM1009233800001,D
5139023284,南通盛达铸造有限公司,C31300:黑色金属铸造,CM1012273301034,D
5109029220,无锡埃力克钢管有限公司,C31400:钢压延加工,CM1204281700111,4A
5749033462,宁波恒昌工业有限公司,C31300:黑色金属铸造,CM1003260106754,D
5779037802,浙江宝利亚管业有限公司,C31400:钢压延加工,CM1210300100175,D
5199024092,溧阳市新力机械铸造有限公司,C31300:黑色金属铸造,CM1208132400114,4A
5329043119,山东鑫华特钢集团有限公司,C31200:炼钢,CM1108307900087,3C
5319035772,冠县新宇制钢有限公司,C31400:钢压延加工,CM1011250100168,D
5119022869,江苏锦之澄机械科技有限公司,C31400:钢压延加工,CM1405287400213,D
5919036532,福安市同发金属制品有限公司,C31300:黑色金属铸造,CM1112310100136,D
5519037135,安徽汇鑫冶金制品有限公司,C31400:钢压延加工,CM1211141600271,D
5319034836,冠县港海薄板有限公司,C31400:钢压延加工,CM1006083200036,D
5539000029,马鞍山市雷宁金属材料有限责任公司,C31400:钢压延加工,CM1107203800165,D
3719030390,河南宏宇特铸股份有限公司,C31300:黑色金属铸造,CM1008180300164,D
3499002334,朔州市荣丰化工有限公司,C31500:铁合金冶炼,CM1709260000004,4A
5749038301,余姚市诚基合金钢实业有限公司,C31400:钢压延加工,CM1003260107725,D
5729000573,长兴联欣钢管有限公司,C31400:钢压延加工,CM1103161200060,D
5199024664,常州市顶天钢管有限公司,C31400:钢压延加工,CM1304086100023,D
5439001665,邹平广田实业有限公司,C31400:钢压延加工,CM1611300000181,4A
3519006356,山西交城县新兴管件有限公司,C31300:黑色金属铸造,CM1108297800101,D
3719026244,沙钢集团安阳永兴钢铁有限公司,C31200:炼钢,CM1003260084385,4A
5369023042,山东鲁星钢管有限公司,C31400:钢压延加工,CM1304126500095,D
3799000363,河南兴隆机械装备制造有限公司,C31300:黑色金属铸造,CM1103292500325,D
7149000045,黄石东贝铸造有限公司,C31300:黑色金属铸造,CM1003260117459,4B
4519030440,哈尔滨实飞汽车冲压件有限责任公司,C31300:黑色金属铸造,CM1109280800149,4A
4729000333,内蒙古一机集团富成锻造有限责任公司,C31400:钢压延加工,CM1007197300301,3B
1259041723,南京南钢产业发展有限公司,C31200:炼钢,CM1005130600039,3A
7149000261,黄石同大冷轧薄板有限公司,C31400:钢压延加工,CM1003260117497,4A
9990147446,无锡市银宝印铁有限公司,C31400:钢压延加工,CM1212073900273,4C
0239000252,重庆钢铁股份有限公司,C31200:炼钢,CM1003260067165,7A
9919031270,首钢伊犁钢铁有限公司,C31200:炼钢,CM1108176600266,6A
5109000382,中天钢铁集团有限公司,C31200:炼钢,CM1003260086776,6B
7579009816,肇庆宏旺金属实业有限公司,C31400:钢压延加工,CM1012202600703,6C
7149023272,湖北加恒实业有限公司,C31400:钢压延加工,CM1206106000010,4A
5729000546,湖州信立不锈钢有限公司,C31400:钢压延加工,CM1101205700198,D
9839000593,四川峨铁节能材料有限责任公司,C31500:铁合金冶炼,CM1404042000247,4A
5919028308,福建亿鑫钢铁有限公司,C31200:炼钢,CM1003260114140,4A
4319009472,浦项通钢（吉林）钢材加工有限公司,C31400:钢压延加工,CM1610140000091,4C
4719004570,内蒙古瑞濠新材料科技有限公司,C31500:铁合金冶炼,CM1407293600090,4A
4719006276,内蒙古普源铁合金有限责任公司,C31500:铁合金冶炼,CM1506230000028,4A
4719004929,察右前旗新创铁合金有限责任公司,C31100:炼铁,CM1411114100119,4A
0219004273,日照钢铁有限公司,C31200:炼钢,CM1003260066453,6A
3519000583,交城义望铁合金有限责任公司,C31500:铁合金冶炼,CM1003260083408,3B
5379000019,山东钢立方钣金有限公司,C31400:钢压延加工,CM1011250100113,4A
8749000845,云南曲靖呈钢钢铁（集团）有限公司,C31200:炼钢,CM1206277700075,4C
5719002548,柳州钢铁股份有限公司,C31200:炼钢,CM1003260100640,4A
5359024953,烟台中福钢材加工配送有限公司,C31400:钢压延加工,CM1206126200184,4A
7579025238,佛山市南海捷品钢管有限公司,C31400:钢压延加工,CM1504070000184,4A
5779026489,大自然钢业集团有限公司,C31400:钢压延加工,CM1003260110699,6C
5779029106,温州江天不锈钢有限公司,C31400:钢压延加工,CM1003260111146,D
3519006851,山西省交城县东方铸造厂,C31300:黑色金属铸造,CM1112148400023,D
8719025821,红河钢铁有限公司,C31200:炼钢,CM1003260125942,4A
5199021329,三鑫重工机械有限公司,C31300:黑色金属铸造,CM1010044900007,5A
1239020874,重庆创精温锻成型有限公司,C31300:黑色金属铸造,CM1003260077903,4A
7149023101,湖北日盛科技有限公司,C31400:钢压延加工,CM1110172600021,9
0279002263,联峰钢铁（张家港）有限公司,C31200:炼钢,CM1003260068939,6C
7579016426,福建鼎信科技有限公司,C31400:钢压延加工,CM1302059900195,3A
3719000041,河南济源钢铁（集团）有限公司,C31200:炼钢,CM1003260083718,4B
1289036607,抚顺特殊钢股份有限公司,C31200:炼钢,CM1003260082134,9
5129000274,张家港宏昌钢板有限公司,C31200:炼钢,CM1003260088470,4A
7559170560,河钢股份有限公司承德分公司,C31200:炼钢,CM1009052013224,7A
1229020788,宣化钢铁集团有限责任公司,C31200:炼钢,CM1003260077005,5A
5319054214,济南庚辰炉料有限公司,C31200:炼钢,CM1707110000163,6A
3719000253,山西太钢不锈钢股份有限公司,C31200:炼钢,CM1003260083780,3B
5329034698,潍坊特钢集团有限公司,C31200:炼钢,CM1003260096548,D
4119020556,五矿营口中板有限责任公司,C31100:炼铁,CM1003260085204,7A
9990136017,娄底市洪申工贸有限公司,C31400:钢压延加工,CM1205304900283,D
5129000554,常熟星岛新兴建材有限公司,C31400:钢压延加工,CM1003260088581,D
0209002240,广州南方管道有限公司,C31400:钢压延加工,CM1003260065164,4A
7559038010,唐山钢铁集团有限责任公司,C31200:炼钢,CM1003260120879,5A
7559034717,莱芜钢铁集团银山型钢有限公司,C31200:炼钢,CM1003260120706,4A
0249001458,通化钢铁股份有限公司,C31200:炼钢,CM1003260067845,D
1209020764,鞍钢联众（广州）不锈钢有限公司,C31400:钢压延加工,CM1003260071530,7A
9319048132,天祝县兴宇冶金炉料有限责任公司,C31300:黑色金属铸造,CM1705020000069,4A
5119021159,江阴市鹏威金属制品有限公司,C31400:钢压延加工,CM1003260088165,D
1219087822,平山县敬业冶炼有限公司,C31100:炼铁,CM1105106700255,4A
1109066102,沧州中铁装备制造材料有限公司,C31200:炼钢,CM1003260071228,6A
1219080238,河北敬业中厚板有限公司,C31400:钢压延加工,CM1105167300423,4A
8519001303,贵州省诺亚精工制造有限公司,C31100:炼铁,CM1204251400018,D
8519001636,贵阳金昌精密铸造有限公司,C31500:铁合金冶炼,CM1209196100074,D
5109000603,江阴泰富兴澄特种材料有限公司,C31100:炼铁,CM1003260086870,7A
5129023750,长江润发（张家港）浦钢有限公司,C31400:钢压延加工,CM1010297400038,6A
5109025341,无锡法斯特能源开发科技有限公司,C31400:钢压延加工,CM1003260087818,4B
7719002054,广西贵港钢铁集团有限公司,C31200:炼钢,CM1205022100039,3B
1289067561,四川新路桥特殊钢有限公司,C31200:炼钢,CM1512220000099,4A
9919038398,新兴铸管阜康能源有限公司,C31100:炼铁,CM1609060000074,4A
1229033218,迁安轧一钢铁集团有限公司,C31200:炼钢,CM1011068210660,D
5119021336,江阴市建业新型材料有限公司,C31400:钢压延加工,CM1003260088196,D
7559033495,邢台钢铁有限责任公司,C31200:炼钢,CM1003260120600,4A
9839000309,四川乐山鑫河电力综合开发有限公司,C31500:铁合金冶炼,CM1204059400055,7A
3719031060,安阳红岩铁合金有限公司,C31500:铁合金冶炼,CM1012061200510,4A
5109000204,江阴兴澄特种钢铁有限公司,C31200:炼钢,CM1003260086716,2A
5169000023,徐州东南钢铁工业有限公司,C31200:炼钢,CM1104123900015,4C
3119000944,格林恒业集团有限公司,C31300:黑色金属铸造,CM1207199900206,D
0239001468,四川省川威集团有限公司,C31200:炼钢,CM1003260067348,D
1289042146,内江市川威特殊钢有限公司,C31400:钢压延加工,CM1003260082301,D
0289001315,成渝钒钛科技有限公司,C31200:炼钢,CM1003260069236,D
5919028173,福州开发区宇辉钢铁制品有限公司,C31400:钢压延加工,CM1003260114123,D
3519007620,太原浩瑞不锈钢有限公司,C31400:钢压延加工,CM1205224100125,D
5119021241,江阴锦澄钢铁有限公司,C31400:钢压延加工,CM1003260088175,D
1229023173,天津市岐丰钢铁有限公司,C31400:钢压延加工,CM1003260077158,D
7579005477,佛山市高明区允然带钢实业有限公司,C31400:钢压延加工,CM1003260123549,D
1249047425,沈阳航空锻造有限公司,C31300:黑色金属铸造,CM1204120100098,D
0239001595,四川省达州钢铁集团有限责任公司,C31200:炼钢,CM1003260067372,D
7319041395,娄底市盛隆冷轧有限公司,C31400:钢压延加工,CM1201040500010,D
5119021626,江阴市中能轨道器材科技有限公司,C31400:钢压延加工,CM1003260088288,D
5109000639,江阴市双达钢业有限公司,C31400:钢压延加工,CM1003260086888,D
5749042061,余姚市一太特种金属有限公司,C31400:钢压延加工,CM1101286500043,D
5749043470,余姚市晨航不锈钢制品有限公司,C31400:钢压延加工,CM1107254300120,D
5119020507,江阴市荣达经贸有限公司,C31400:钢压延加工,CM1003260088121,D
3519001351,山西国联管业集团有限公司,C31400:钢压延加工,CM1003260083493,D
5329048372,青岛特殊钢铁有限公司,C31200:炼钢,CM1204200900087,3C
5149021897,玛切嘉利（中国）有限责任公司,C31400:钢压延加工,CM1004290000020,D
8739000000,个旧市南翔有限责任公司,C31500:铁合金冶炼,CM1012162200414,D
5109000702,江阴市双宏钢业有限公司,C31400:钢压延加工,CM1006073100002,4A
5749041819,余姚市凯兴不锈钢有限公司,C31400:钢压延加工,CM1012303600578,4A
5109031294,无锡市沃顿钢业有限公司,C31400:钢压延加工,CM1304288100246,4A
7559156567,承德燕山带钢有限公司,C31400:钢压延加工,CM1003260122089,4A
5319000950,日照钢铁控股集团有限公司,C31200:炼钢,CM1003260094181,6A
4119038873,东北特钢集团大连特殊钢有限责任公司,C31200:炼钢,CM1003260085735,D
